Meter,Start_Date,End_Date,Usage,Code,Total
M-001,2026-04-02,2026-05-01,44000,COMM,5280.00
M-002,2026-04-06,2026-05-05,29500,COMM,3540.00
M-003,2026-04-04,2026-05-03,67000,IND,8040.00
M-001,2026-03-03,2026-04-01,41500,COMM,4980.00
M-004,2026-04-09,2026-05-08,0,COMM,0.00
M-005,2026-04-11,2026-05-10,91000,IND,10920.00
M-003,2026-03-05,2026-04-03,63500,IND,7620.00
M-002,2026-03-07,2026-04-05,27100,COMM,3252.00
M-006,2026-04-14,2026-05-13,38000,COMM,4560.00
M-005,2026-03-12,2026-04-10,86000,IND,10320.00
