posting_date,cost_center,item_code,volume,uom,amount_usd,item_desc
2026-01-10,CC-301,DIESEL_04,1900,L,2338.00,Low Sulphur Diesel
2026-01-17,CC-301,PETROL_01,1050,L,1365.00,Regular Unleaded
2026-01-24,CC-302,DIESEL_04,2600,L,3198.00,Low Sulphur Diesel
2026-02-07,CC-301,DIESEL_04,1450,L,1784.50,Low Sulphur Diesel
2026-02-14,CC-302,LPG_02,1600,L,1376.00,LPG Autogas
2026-02-21,CC-301,DIESEL_04,0,L,0.00,Low Sulphur Diesel
2026-02-28,CC-302,PETROL_01,880,L,1144.00,Regular Unleaded
2026-03-07,CC-301,DIESEL_04,3100,L,3813.00,Low Sulphur Diesel
2026-03-14,CC-302,DIESEL_04,2200,L,2706.00,Low Sulphur Diesel
2026-03-21,CC-301,PETROL_01,940,L,1222.00,Regular Unleaded
2026-04-11,CC-301,DIESEL_04,1700,L,2091.00,Low Sulphur Diesel
2026-04-18,CC-302,DIESEL_04,2800,L,3444.00,Low Sulphur Diesel
2026-04-25,CC-301,,,0,0.00,
