Date,Site,Fuel_Code,Amount,Unit,Cost,Fuel_Type
2026-01-09,SITE-A,DIESEL_04,1700,L,2091.00,Diesel
2026-01-16,SITE-A,DIESEL_04,2300,L,2829.00,Diesel
2026-01-23,SITE-B,PETROL_01,1000,L,1300.00,Petrol
2026-01-30,SITE-A,DIESEL_04,1550,L,1907.50,Diesel
2026-02-06,SITE-B,DIESEL_04,2700,L,3321.00,Diesel
2026-02-13,SITE-A,LPG_02,1200,L,1032.00,LPG
2026-02-20,SITE-A,DIESEL_04,0,L,0.00,Diesel
2026-02-27,SITE-B,PETROL_01,860,L,1118.00,Petrol
2026-03-06,SITE-A,DIESEL_04,2050,L,2521.50,Diesel
2026-03-13,SITE-B,DIESEL_04,1900,L,2337.00,Diesel
2026-03-20,SITE-A,PETROL_01,990,L,1287.00,Petrol
2026-04-10,SITE-A,DIESEL_04,2200,L,2706.00,Diesel
2026-04-17,SITE-B,DIESEL_04,,,0.00,
2026-04-24,SITE-A,DIESEL_04,2600,L,3198.00,Diesel
